,player_pos,collision,current_direction,current_drift,level_done,input_noise_magnitude,input_noise_threshold,visible_obstacles,visible_drift_tiles
217,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([323, 100])]]"
218,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([323,  90])]]"
219,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([323,  80])]]"
220,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([323,  70])]]"
221,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([323,  60])]]"
222,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([323,  50])]]"
223,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([323,  40])]]"
224,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([323,  30])]]"
225,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([323,  20])]]"
226,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([323,  10])]]"
227,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([323,   0])]]"
228,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
229,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
